Sample rate: 9400 Hz
Time(s),Amplitude
9.376808510638298344e+00,1.050000000000000000e+02
9.376914893617021463e+00,1.060000000000000000e+02
9.377021276595744581e+00,1.100000000000000000e+02
9.377127659574467700e+00,1.170000000000000000e+02
9.377234042553190818e+00,1.200000000000000000e+02
9.377340425531915713e+00,1.180000000000000000e+02
9.377446808510638832e+00,1.210000000000000000e+02
9.377553191489361950e+00,1.240000000000000000e+02
9.377659574468085069e+00,1.230000000000000000e+02
9.377765957446808187e+00,1.270000000000000000e+02
9.377872340425531306e+00,1.320000000000000000e+02
9.377978723404256201e+00,1.330000000000000000e+02
9.378085106382979319e+00,1.330000000000000000e+02
9.378191489361702438e+00,1.340000000000000000e+02
9.378297872340425556e+00,1.330000000000000000e+02
9.378404255319148675e+00,1.320000000000000000e+02
9.378510638297871793e+00,1.310000000000000000e+02
9.378617021276594912e+00,1.250000000000000000e+02
9.378723404255319807e+00,1.160000000000000000e+02
9.378829787234042925e+00,1.150000000000000000e+02
9.378936170212766044e+00,1.120000000000000000e+02
9.379042553191489162e+00,1.070000000000000000e+02
9.379148936170212281e+00,1.050000000000000000e+02
9.379255319148935399e+00,1.010000000000000000e+02
9.379361702127660294e+00,1.000000000000000000e+02
9.379468085106383413e+00,1.020000000000000000e+02
9.379574468085106531e+00,1.040000000000000000e+02
9.379680851063829650e+00,1.030000000000000000e+02
9.379787234042552768e+00,1.060000000000000000e+02
9.379893617021275887e+00,1.070000000000000000e+02
9.380000000000000782e+00,1.090000000000000000e+02
9.380106382978723900e+00,1.170000000000000000e+02
9.380212765957447019e+00,1.220000000000000000e+02
9.380319148936170137e+00,1.210000000000000000e+02
9.380425531914893256e+00,1.210000000000000000e+02
9.380531914893616374e+00,1.160000000000000000e+02
9.380638297872341269e+00,1.130000000000000000e+02
9.380744680851064388e+00,1.120000000000000000e+02
9.380851063829787506e+00,1.090000000000000000e+02
9.380957446808510625e+00,1.030000000000000000e+02
9.381063829787233743e+00,1.000000000000000000e+02
9.381170212765956862e+00,9.900000000000000000e+01
9.381276595744679980e+00,9.800000000000000000e+01
9.381382978723404875e+00,9.700000000000000000e+01
9.381489361702127994e+00,1.030000000000000000e+02
9.381595744680851112e+00,1.070000000000000000e+02
9.381702127659574231e+00,1.050000000000000000e+02
9.381808510638297349e+00,1.080000000000000000e+02
9.381914893617020468e+00,1.120000000000000000e+02
9.382021276595745363e+00,1.130000000000000000e+02
9.382127659574468481e+00,1.190000000000000000e+02
9.382234042553191600e+00,1.210000000000000000e+02
9.382340425531914718e+00,1.190000000000000000e+02
9.382446808510637837e+00,1.160000000000000000e+02
9.382553191489360955e+00,1.190000000000000000e+02
9.382659574468085850e+00,1.200000000000000000e+02
9.382765957446808969e+00,1.200000000000000000e+02
9.382872340425532087e+00,1.210000000000000000e+02
9.382978723404255206e+00,1.190000000000000000e+02
9.383085106382978324e+00,1.170000000000000000e+02
9.383191489361701443e+00,1.190000000000000000e+02
9.383297872340426338e+00,1.210000000000000000e+02
9.383404255319149456e+00,1.210000000000000000e+02
9.383510638297872575e+00,1.220000000000000000e+02
9.383617021276595693e+00,1.230000000000000000e+02
9.383723404255318812e+00,1.240000000000000000e+02
9.383829787234041930e+00,1.250000000000000000e+02
9.383936170212766825e+00,1.270000000000000000e+02
9.384042553191489944e+00,1.280000000000000000e+02
9.384148936170213062e+00,1.300000000000000000e+02
9.384255319148936181e+00,1.290000000000000000e+02
9.384361702127659299e+00,1.290000000000000000e+02
9.384468085106382418e+00,1.320000000000000000e+02
9.384574468085105536e+00,1.300000000000000000e+02
9.384680851063830431e+00,1.240000000000000000e+02
9.384787234042553550e+00,1.190000000000000000e+02
9.384893617021276668e+00,1.130000000000000000e+02
9.384999999999999787e+00,1.100000000000000000e+02
9.385106382978722905e+00,1.080000000000000000e+02
9.385212765957446024e+00,1.020000000000000000e+02
9.385319148936170919e+00,9.600000000000000000e+01
9.385425531914894037e+00,9.300000000000000000e+01
9.385531914893617156e+00,9.200000000000000000e+01
9.385638297872340274e+00,9.000000000000000000e+01
9.385744680851063393e+00,8.900000000000000000e+01
9.385851063829786511e+00,9.400000000000000000e+01
9.385957446808511406e+00,9.900000000000000000e+01
9.386063829787234525e+00,1.020000000000000000e+02
9.386170212765957643e+00,1.060000000000000000e+02
9.386276595744680762e+00,1.110000000000000000e+02
9.386382978723403880e+00,1.140000000000000000e+02
9.386489361702126999e+00,1.180000000000000000e+02
9.386595744680851894e+00,1.190000000000000000e+02
9.386702127659575012e+00,1.170000000000000000e+02
9.386808510638298131e+00,1.140000000000000000e+02
9.386914893617021249e+00,1.170000000000000000e+02
9.387021276595744368e+00,1.170000000000000000e+02
9.387127659574467486e+00,1.180000000000000000e+02
9.387234042553190605e+00,1.200000000000000000e+02
9.387340425531915500e+00,1.160000000000000000e+02
9.387446808510638618e+00,1.150000000000000000e+02
9.387553191489361737e+00,1.170000000000000000e+02
9.387659574468084855e+00,1.150000000000000000e+02
9.387765957446807974e+00,1.130000000000000000e+02
9.387872340425531092e+00,1.120000000000000000e+02
9.387978723404255987e+00,1.090000000000000000e+02
9.388085106382979106e+00,1.060000000000000000e+02
9.388191489361702224e+00,1.070000000000000000e+02
9.388297872340425343e+00,1.060000000000000000e+02
9.388404255319148461e+00,1.040000000000000000e+02
9.388510638297871580e+00,1.050000000000000000e+02
9.388617021276596475e+00,1.060000000000000000e+02
9.388723404255319593e+00,1.130000000000000000e+02
9.388829787234042712e+00,1.190000000000000000e+02
9.388936170212765830e+00,1.230000000000000000e+02
9.389042553191488949e+00,1.230000000000000000e+02
9.389148936170212068e+00,1.220000000000000000e+02
9.389255319148936962e+00,1.220000000000000000e+02
9.389361702127660081e+00,1.230000000000000000e+02
9.389468085106383199e+00,1.230000000000000000e+02
9.389574468085106318e+00,1.220000000000000000e+02
9.389680851063829436e+00,1.150000000000000000e+02
9.389787234042552555e+00,1.110000000000000000e+02
9.389893617021277450e+00,1.080000000000000000e+02
9.390000000000000568e+00,1.070000000000000000e+02
9.390106382978723687e+00,1.090000000000000000e+02
9.390212765957446805e+00,1.100000000000000000e+02
9.390319148936169924e+00,1.100000000000000000e+02
9.390425531914893043e+00,1.070000000000000000e+02
9.390531914893616161e+00,1.070000000000000000e+02
9.390638297872341056e+00,1.100000000000000000e+02
9.390744680851064174e+00,1.150000000000000000e+02
9.390851063829787293e+00,1.200000000000000000e+02
9.390957446808510412e+00,1.230000000000000000e+02
9.391063829787233530e+00,1.240000000000000000e+02
9.391170212765956649e+00,1.270000000000000000e+02
9.391276595744681543e+00,1.320000000000000000e+02
9.391382978723404662e+00,1.320000000000000000e+02
9.391489361702127781e+00,1.300000000000000000e+02
9.391595744680850899e+00,1.280000000000000000e+02
9.391702127659574018e+00,1.290000000000000000e+02
9.391808510638297136e+00,1.310000000000000000e+02
